小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
三康庙社区,章贡三康庙西郊路18号,3室2厅1卫,80㎡,南北,高层(共7层),1992年建造,5725元/㎡,45.8万,三康庙社区 大润发 精装三房 小区环境很好 很好停车 通透
联泰天璞,章贡蓉江新区105国道,4室2厅2卫,134.79㎡,南北,低层(共31层),2019年建造,11871元/㎡,160万,捡漏房源！蓉江新区 联泰天璞四房 南北通透双阳台 急售！
财政局宿舍,章贡厚德路青年路22号,3室2厅1卫,90㎡,南北,中层(共7层),1993年建造,7334元/㎡,66万,青年路精装三房，有小区好停车，中间楼层采光好，
牌坊下生活区,章贡三康庙廉泉路,2室2厅1卫,60㎡,南,中层(共7层),1998年建造,5834元/㎡,35万,牌坊下生活小区精装两房业主急售
春江花月C区,章贡三康庙章江北大道142号,3室2厅1卫,90㎡,南北,低层(共6层),2011年建造,9645元/㎡,86.8万,3室2厅 精装修 满五 春江花月C区 诚心出售 价格可议
文明大道17-25号小区,章贡张家围文明大道17-25号,4室2厅1卫,139.3㎡,南,中层(共7层),1995年建造,5155元/㎡,71.8万,文明大道桃子园对面大气正规四房南北通透有院子停车红旗二张家围
中环中央城B区,章贡中央公园绵江路21号,3室2厅1卫,83㎡,东,中层(共20层),2016年建造,13254元/㎡,110万,中央公园旁中央城毛坯三房房东诚心出售
蔚蓝半岛(中区),章贡章江北大道章江北大道118号,3室2厅2卫,135㎡,南北,低层(共7层),2008年建造,8075元/㎡,109万,房东急售蔚蓝半岛(中区) 135平 精装修 看房方便 有钥匙
东郊花苑,章贡黄屋坪路东郊路89号,3室2厅2卫,135㎡,南,中层(共7层),2008年建造,6889元/㎡,93万,捡漏！东郊花苑 南北通透精装三室两厅 93万 小区很好停车
金田小区,章贡文明大道文明大道44号,2室2厅1卫,89㎡,南,高层(共6层),1996年建造,4383元/㎡,39万,文明大道不沿街不会吵通透大两房可改三房采光好有小区停车有柴间
正荣悦玺,章贡蓉江新区武陵大道,3室2厅2卫,125㎡,南北,中层(共15层),2021年建造,11600元/㎡,145万,捡漏了正荣悦玺 南北通透户型毛坯三房 采光视野好板楼好晒太阳
云山花园,章贡张家围云山路4号,4室2厅2卫,115㎡,南北,中层(共7层),1998年建造,6000元/㎡,69万,814大道汽车站旁精装4房 全天日照采光
关刀坪10-12号院,章贡张家围关刀坪10-12号,3室2厅1卫,128㎡,南北,中层(共7层),2001年建造,5625元/㎡,72万,房东急售 关刀坪经典原装大3房有柴间中间楼层
春江花月C区,章贡三康庙章江北大道142号,3室2厅1卫,90㎡,南,中层(共6层),2011年建造,7667元/㎡,69万,房东急售！捡漏！新装修！中间楼层2011正规大小区！绝
江西理工大学东苑住宅区,章贡三康庙红旗大道122号,2室2厅1卫,70㎡,南北,低层(共6层),1987年建造,7286元/㎡,51万,理工东苑精装两房 低楼层 生活便利 繁华地段 小区已改造
西郊路7号小区,章贡三康庙西郊路7号,3室2厅2卫,118㎡,南北,中层(共7层),1999年建造,5339元/㎡,63万,老城区西郊路精装修三房两厅两卫118平方63万带柴间好停车
警苑,章贡营角上东阳山路21-2号,3室2厅2卫,90㎡,南北,高层(共6层),1994年建造,5889元/㎡,53万,南门口旁 东阳山大酒店 三房两卫好停车 可按揭 看房方便
黄屋坪路5-13号小区,章贡黄屋坪路黄屋坪路5-13号(单号),3室2厅2卫,100.4㎡,南北,中层(共7层),1996年建造,7361元/㎡,73.9万,送露台 超高性价比  全明采光 中等楼层 南北通透 精装三房
文明大道109号小区,章贡营角上文明大道109号,3室2厅1卫,90㎡,南,中层(共6层),2000年建造,5556元/㎡,50万,文明大道小区（首期10万）全新装修未入住 价格可谈随时看房
