小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
红星中央广场,南康广场天街赣南大道,3室2厅2卫,115㎡,南,低层(共33层),2021年建造,8418元/㎡,96.8万,红星中央广场三房两厅两卫
红星中央广场,南康广场天街赣南大道,4室2厅2卫,115㎡,南,高层(共33层),2021年建造,8679元/㎡,99.8万,红星中央广场 精装四房两厅两卫 好楼层 视野开阔采光好
绿地城际空间站晶骊,南康赣南大道339省道,3室2厅1卫,100㎡,南,高层(共18层),2021年建造,6400元/㎡,64万,经开区  捡漏大品牌  楼层日照时间长送产权 车位 园林舒适
福星城小区,南康广场天街工业大道,3室2厅2卫,96㎡,南,中层(共8层),2018年建造,4219元/㎡,40.5万,六小六中 火车站旁 全新装修未入住电梯三房 家具家电齐全
佳兴锦园,南康蓝田大道天马山大道,4室2厅2卫,125㎡,南北,低层(共32层),2021年建造,10384元/㎡,129.8万,品质小区 佳兴锦园洋房四房 带一个260平大晒台
佳兴锦园,南康蓝田大道天马山大道,3室2厅2卫,108㎡,南,中层(共32层),2020年建造,8426元/㎡,91万,佳兴锦园 三房两厅两卫大阳台 好楼层视野开阔 采光通风俱佳
翡翠公馆,南康迎宾中大道工业一路,3室2厅2卫,104.3㎡,南,低层(共32层),2018年建造,6501元/㎡,67.8万,急急坪岭转盘 路福酒店 六小 翡翠公馆电梯 毛坯南北通透三房
佳兴锦园,南康蓝田大道天马山大道,4室2厅2卫,125㎡,南北,低层(共12层),2021年建造,10384元/㎡,129.8万,带200平大露台！佳兴锦园 洋房 四房两厅 售129.8万
佳龙太古城,南康和谐大道南山大道,3室2厅2卫,89㎡,南,高层(共32层),2020年建造,8304元/㎡,73.9万,四小八中 佳龙太古城 精装修3房2厅 中高楼层 房东诚意出售
佳兴文峰花园,南康迎宾中大道文峰路,4室2厅2卫,136.04㎡,南北,高层(共31层),2020年建造,8748元/㎡,119万,六小旁 佳兴文峰花园精装修南北通透4房2厅 品质小区
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,5室2厅2卫,220㎡,南北,高层(共31层),2020年建造,7719元/㎡,169.8万,碧桂园豪华装修大平层五房 小区中心位置
宝辉幸福城,南康南水大道南山大道,4室2厅2卫,113㎡,南北,中层(共29层),2016年建造,9983元/㎡,112.8万,南康四小十一中对面  宝辉幸福城豪华装修四房   户型非常好
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,144㎡,南北,低层(共30层),2020年建造,8542元/㎡,123万,南康南水 体育公园旁 碧桂园正荣天麓   带电梯边套
翡翠公馆,南康迎宾中大道工业一路,3室2厅2卫,110㎡,南,中层(共28层),2020年建造,8528元/㎡,93.8万,翡翠公馆精装修 大三房 精装修未入住 户型方正交通方便配套全
碧桂园正荣天麓(公寓住宅),南康天马山大道天马山大道,4室2厅2卫,142㎡,南北,低层(共33层),2017年建造,8444元/㎡,119.9万,碧桂园急售房源 税满二 四房两厅两卫 南北通透双阳台 采光好
